
==================== Loading and Splitting Data ====================
Task A (Classes 0-4): 25000 training samples
Task B (Classes 5-9): 25000 training samples

==================== EXPERIMENT 1: Full Fine-Tuning (The Baseline) ====================
Training on Task A...
{'loss': 1.2712, 'grad_norm': 37.67932891845703, 'learning_rate': 4.937340153452686e-05, 'epoch': 0.06}
{'loss': 0.6627, 'grad_norm': 18.372987747192383, 'learning_rate': 4.8734015345268545e-05, 'epoch': 0.13}
{'loss': 0.5366, 'grad_norm': 33.23933029174805, 'learning_rate': 4.809462915601023e-05, 'epoch': 0.19}
{'loss': 0.4866, 'grad_norm': 23.467044830322266, 'learning_rate': 4.745524296675192e-05, 'epoch': 0.26}
{'loss': 0.4234, 'grad_norm': 7.85373592376709, 'learning_rate': 4.681585677749361e-05, 'epoch': 0.32}
{'loss': 0.3885, 'grad_norm': 19.55356216430664, 'learning_rate': 4.61764705882353e-05, 'epoch': 0.38}
{'loss': 0.3851, 'grad_norm': 27.246667861938477, 'learning_rate': 4.5537084398976985e-05, 'epoch': 0.45}
{'loss': 0.4225, 'grad_norm': 39.38937759399414, 'learning_rate': 4.489769820971867e-05, 'epoch': 0.51}
{'loss': 0.3701, 'grad_norm': 21.920429229736328, 'learning_rate': 4.4258312020460354e-05, 'epoch': 0.58}
{'loss': 0.3636, 'grad_norm': 30.483970642089844, 'learning_rate': 4.361892583120204e-05, 'epoch': 0.64}
{'loss': 0.3417, 'grad_norm': 5.6532416343688965, 'learning_rate': 4.297953964194373e-05, 'epoch': 0.7}
{'loss': 0.318, 'grad_norm': 15.88342571258545, 'learning_rate': 4.234015345268542e-05, 'epoch': 0.77}
{'loss': 0.3165, 'grad_norm': 14.885770797729492, 'learning_rate': 4.1700767263427106e-05, 'epoch': 0.83}
{'loss': 0.2864, 'grad_norm': 11.65827465057373, 'learning_rate': 4.1061381074168794e-05, 'epoch': 0.9}
{'loss': 0.324, 'grad_norm': 16.468307495117188, 'learning_rate': 4.042199488491048e-05, 'epoch': 0.96}
{'loss': 0.2771, 'grad_norm': 24.815284729003906, 'learning_rate': 3.978260869565217e-05, 'epoch': 1.02}
{'loss': 0.2253, 'grad_norm': 25.921838760375977, 'learning_rate': 3.914322250639386e-05, 'epoch': 1.09}
{'loss': 0.209, 'grad_norm': 16.71416664123535, 'learning_rate': 3.8503836317135546e-05, 'epoch': 1.15}
{'loss': 0.2131, 'grad_norm': 33.941402435302734, 'learning_rate': 3.7864450127877235e-05, 'epoch': 1.21}
{'loss': 0.2306, 'grad_norm': 9.096193313598633, 'learning_rate': 3.722506393861892e-05, 'epoch': 1.28}
{'loss': 0.2449, 'grad_norm': 8.57613754272461, 'learning_rate': 3.658567774936061e-05, 'epoch': 1.34}
{'loss': 0.2483, 'grad_norm': 20.13690185546875, 'learning_rate': 3.5946291560102305e-05, 'epoch': 1.41}
{'loss': 0.2629, 'grad_norm': 35.038326263427734, 'learning_rate': 3.5306905370843993e-05, 'epoch': 1.47}
{'loss': 0.2253, 'grad_norm': 20.269472122192383, 'learning_rate': 3.466751918158568e-05, 'epoch': 1.53}
{'loss': 0.2098, 'grad_norm': 29.303571701049805, 'learning_rate': 3.402813299232737e-05, 'epoch': 1.6}
